Name,Identity,Birth place,Publisher,Height,Weight,Gender,First appearance,Eye color,Hair color,Strength,Intelligence
A-Bomb,Richard Milhouse Jones,"Scarsdale, Arizona",Marvel Comics,203.21,441.95,M,2008,Yellow,No Hair,100,moderate
Abraxas,Abraxas,Within Eternity ,Marvel Comics,,,M,,Blue,Black,100,high
Abomination,Emil Blonsky,"Zagreb, Yugoslavia",Marvel Comics,203.04,441.98,M,,Green,No Hair,80,good
Adam Monroe,,,NBC - Heroes,,,M,,Blue,Blond,10,good
Agent 13,Sharon Carter,,Marvel Comics,173.41,61.03,F,,Blue,Blond,,
Air-Walker,Gabriel Lan,"Xandar, a planet in the Tranta system, Andromeda galaxy",Marvel Comics,188.59,108.23,M,,Blue,White,85,average
Agent Bob,Bob,,Marvel Comics,178.25,81.45,M,2007,Brown,Brown,10,low
Abe Sapien,Abraham Sapien,,Dark Horse Comics,191.24,65.35,M,1993,Blue,No Hair,30,high
Abin Sur,,Ungara,DC Comics,185.52,90.9,M,1959,Blue,No Hair,90,average
Angela,,,Image Comics,,,F,,,,100,high
Animal Man,Bernhard Baker,,DC Comics,183.8,83.39,M,1965,Blue,Blond,50,average
Agent Zero,Christoph Nord,Unrevealed location in former East Germany ,Marvel Comics,191.29,104.17,M,,,,30,good
Colin Wagner,,,HarperCollins,,,M,,Grey,Brown,,
Angel Dust,Christina,,Marvel Comics,165.78,57.21,F,,Yellow,Black,55,moderate
Angel Salvadore,Angel Salvadore Bohusk,,Marvel Comics,163.57,54.67,F,2001,Brown,Black,10,moderate
Zoom,Hunter Zolomon,,DC Comics,185.9,81.93,M,,Red,Brown,10,average
Lady Deathstrike,Yuriko Oyama,"Osaka, Japan",Marvel Comics,175.85,58.89,F,1985,Brown,Black,30,good
Yoda,Yoda,,George Lucas,66.29,17.01,M,1980,Brown,White,55,high
